I241;Telecommunications Networks;5,00;autumn - spring 
I242;Software Technologies;5,00;autumn - spring 
I246;Office Software Programming;5,00;autumn - spring 
I247;Art of Persuation;3,00;autumn - spring 
I248;Marketing Research;3,00;autumn - spring 
I251;Logic Programming;2,00;autumn - spring 
I252;Functional Programming;3,00;autumn - spring 
I300;User Interfaces on Base of Network Technology;4,50;autumn - spring 
I301;Data Security and Cryptology;4,50;autumn - spring 
I302;Information System Projects and Administration;5,00;autumn - spring 
I303;Network Applications II: Distributed Systems;5,00;autumn - spring 
I304;Database Integration and Optimisation;5,50;autumn - spring 
I306;E-Commerce and Business System Design;5,50;autumn - spring 
I307;Digital Communication;3,00;autumn - spring 
I308;Computer Graphics Theory;5,00;autumn - spring 
I310;Operating Systems Technology;5,00;autumn - spring 
I311;System Modeling and Control;5,00;autumn - spring 
I312;Real-Time Systems II: Pre-Run-Time Timing Analysis;5,00;autumn - spring 
I315;CISCO: Configuring Switches and Understanding VLANs;3,50;autumn - spring 
I316;CISCO: Basics of WAN's. Understanding WAN Protocols;4,00;autumn - spring 
I318;Business English for IT Specialists;4,50;autumn - spring 
I320;Project I;4,50;autumn - spring 
I321;Project II;4,50;autumn - spring 
I323;Rational Unified Process;4,50;autumn - spring 
I324;IT Strategy;4,50;autumn - spring 
I326;Software Development Methodology;4,50;autumn - spring 
I327;IT Architecture;4,50;autumn - spring 
I328;Creative Problem Solving and Innovatics;1,50;autumn - spring 
I330;Communication Management;3,00;autumn - spring 
I331;Prepress and Workflow;3,00;autumn - spring 
I333;Developing Business Network Service;4,50;autumn - spring 
I334;Linux Administration;3,00;autumn - spring 
I335;Developing Business Network Service;3,50;autumn - spring 
I336;Information System Projects and Administration I;2,00;autumn - spring 
I337;Information System Projects and Administration II;3,00;autumn - spring 
I338;Business Analysis Techniques and Business Logic Modeling;4,50;autumn - spring 
I340;Basic of GIS;3,00;autumn - spring 
I341;Building Web Applications with Microsoft ASP.NET 2.0;4,00;autumn - spring 
I342;Windows Server 2003 Administration;3,00;autumn - spring 
I343;CCNP 1 Advanced Routing;4,50;autumn - spring 
I344;User Interfaces on Base of Network Technology;5,00;autumn - spring 
I345;Data Security and Cryptology;5,00;autumn - spring 
I346;Database Integration and Optimisation;5,00;autumn - spring 
I347;E-Commerce and Business System Design;5,00;autumn - spring 
I348;Digital Audio and Video Processing;4,00;autumn - spring 
I351;Project II;5,00;autumn - spring 
I352;Rational Unified Process;5,00;autumn - spring 
I353;IT Strategy;4,00;autumn - spring 
I354;Software Development Methodology;5,00;autumn - spring 
I355;IT Architecture;5,00;autumn - spring 
I356;Creative Problem Solving and Innovatics;2,00;autumn - spring 
I357;Linux Administration;4,00;autumn - spring 
I358;Business Analysis Techniques and Business Logic Modeling;5,00;autumn - spring 
I360;Project;5,00;autumn - spring 
I361;Project;5,00;autumn - spring 
